feature	abs_weight	weight
obl	1.0322591013491333	-1.0322591013491333
flat	0.9251596304162568	-0.9251596304162568
conj	0.5895252962318942	0.5895252962318942
xcomp	0.5835861109573095	0.5835861109573095
iobj	0.47258850166471333	0.47258850166471333
pastv	0.37673907219758007	0.37673907219758007
nn	0.37563671440916124	0.37563671440916124
nmod	0.3670807146472672	0.3670807146472672
ppron	0.3243167701501104	-0.3243167701501104
self	0.3162775407393781	-0.3162775407393781
fin	0.3061065509798695	-0.3061065509798695
aux:pass	0.26369940142034665	0.26369940142034665
wdlen	0.25683197265992064	0.25683197265992064
addit	0.2557426370575282	0.2557426370575282
advmod	0.2267327044893488	0.2267327044893488
mdd	0.2026131549103649	0.2026131549103649
advqua	0.18601958334112112	0.18601958334112112
obj	0.16824725933517115	-0.16824725933517115
mean_sent_wc	0.16647410652090144	0.16647410652090144
advcl	0.15502840318325006	0.15502840318325006
demdets	0.15473936640306007	0.15473936640306007
vorfeld	0.15401041309907182	-0.15401041309907182
appos	0.1488652142793443	0.1488652142793443
poss	0.14713288246731793	0.14713288246731793
acl	0.14547235414414317	0.14547235414414317
mark	0.13676573011721072	0.13676573011721072
ttr	0.13505273503339588	0.13505273503339588
parataxis	0.1345611741767221	0.1345611741767221
mhd	0.13318723090635842	0.13318723090635842
prep	0.12767335039075967	0.12767335039075967
nachfeld	0.11454529300832306	-0.11454529300832306
dens	0.11010170412870934	0.11010170412870934
caus	0.09585419392745465	0.09585419392745465
nnargs	0.09451610588470816	0.09451610588470816
simple	0.09299320720686088	-0.09299320720686088
advers	0.06787326312225872	-0.06787326312225872
amod	0.0640445619984833	0.0640445619984833
fixed	0.05471802742402687	0.05471802742402687
