feature	abs_weight	weight
nummod	1.2066656944912972	-1.2066656944912972
fin	0.8757372223515183	-0.8757372223515183
conj	0.6388489147871146	0.6388489147871146
xcomp	0.5898573895087312	0.5898573895087312
fixed	0.4770226433571987	0.4770226433571987
obl	0.3844127489980689	0.3844127489980689
mhd	0.36481216672626515	0.36481216672626515
mpred	0.35287567368338024	0.35287567368338024
prep	0.32502027578019654	-0.32502027578019654
poss	0.31423153161874495	-0.31423153161874495
discourse	0.2995366350073083	-0.2995366350073083
cconj	0.25956926737141783	0.25956926737141783
wdlen	0.25386552210658886	0.25386552210658886
advmod_verb	0.2349777358807711	0.2349777358807711
addit	0.22202427297074667	0.22202427297074667
numcls	0.20309605067819447	-0.20309605067819447
advcl	0.19800582420304225	0.19800582420304225
advqua	0.19160366735723144	0.19160366735723144
inf	0.18058941972866682	0.18058941972866682
iobj	0.17255302476580336	0.17255302476580336
ccomp	0.16142774525434422	0.16142774525434422
vs_noun	0.1590238588937758	-0.1590238588937758
dens	0.15715211892605563	0.15715211892605563
obl_obj	0.14740035766384452	0.14740035766384452
ppron	0.1389254754265341	0.1389254754265341
deverb	0.1332496511485074	0.1332496511485074
mark	0.130666093360416	0.130666093360416
acl	0.12399134154386049	0.12399134154386049
ttr	0.12300819957876641	0.12300819957876641
mdd	0.1179543627364339	0.1179543627364339
flat	0.11693824688788568	0.11693824688788568
mean_sent_wc	0.11560412498828887	-0.11560412498828887
compound	0.11255411519573144	0.11255411519573144
obj	0.10505796368126674	0.10505796368126674
tempseq	0.09478020063152504	-0.09478020063152504
epist	0.08060692277771175	0.08060692277771175
nsubj	0.06804929214253619	0.06804929214253619
advers	0.061044837900929405	-0.061044837900929405
caus	0.0522597219476465	0.0522597219476465
nmod	0.04674761083847079	0.04674761083847079
parataxis	0.04317573596216717	0.04317573596216717
sconj	0.041551832886026485	0.041551832886026485
simple	0.03973044881875687	0.03973044881875687
aux	0.033948771609037975	-0.033948771609037975
vorfeld	0.03322941182342132	0.03322941182342132
appos	0.02825937060609718	0.02825937060609718
pastv	0.026508561846851242	0.026508561846851242
demdets	0.023126306349131154	0.023126306349131154
cop	0.021111286233228554	0.021111286233228554
nn	0.02057385549491264	0.02057385549491264
amod	0.01938305359211423	-0.01938305359211423
advmod	0.01767827531728927	0.01767827531728927
self	0.01406123213953192	0.01406123213953192
nachfeld	0.013722808723709845	0.013722808723709845
nnargs	0.009145549089305982	-0.009145549089305982
vo_noun	0.0026776301968824967	-0.0026776301968824967
negs	0.0020496561045588724	-0.0020496561045588724
aux:pass	0.0	0.0
