feature	abs_weight	weight
nnargs	2.314319730891917	2.314319730891917
caus	0.6730554818287278	-0.6730554818287278
amod	0.6353524167071534	-0.6353524167071534
advqua	0.5857952925195811	-0.5857952925195811
parataxis	0.552732116289782	0.552732116289782
dens	0.47424344860246137	0.47424344860246137
iobj	0.33585034904150923	-0.33585034904150923
mean_sent_wc	0.33447562291237887	-0.33447562291237887
addit	0.30013292351999077	-0.30013292351999077
vorfeld	0.2772807431976032	-0.2772807431976032
nsubj	0.2520247237900275	-0.2520247237900275
cop	0.24577267408936798	-0.24577267408936798
epist	0.242873199614273	-0.242873199614273
pastv	0.2306012998371969	0.2306012998371969
prep	0.22148449176884588	-0.22148449176884588
inf	0.21234936105121704	-0.21234936105121704
cconj	0.20260893639608923	-0.20260893639608923
mhd	0.19704796816521508	-0.19704796816521508
negs	0.19158868556527509	0.19158868556527509
poss	0.18735092896189975	0.18735092896189975
simple	0.1834857631299176	-0.1834857631299176
compound	0.17510100051988853	-0.17510100051988853
advcl	0.1707137775246501	-0.1707137775246501
obj	0.17049847056307854	-0.17049847056307854
nummod	0.16601226251268741	-0.16601226251268741
fin	0.14489248706811075	0.14489248706811075
numcls	0.14389366637136725	-0.14389366637136725
advmod	0.13440036662209742	0.13440036662209742
sconj	0.12860807774599503	-0.12860807774599503
deverb	0.11876560185407925	0.11876560185407925
mdd	0.11359624930996848	0.11359624930996848
demdets	0.10565563097135744	0.10565563097135744
conj	0.0998202958805372	-0.0998202958805372
nmod	0.09717936364234347	-0.09717936364234347
mpred	0.09421201779535382	0.09421201779535382
obl	0.0890947594389222	0.0890947594389222
aux:pass	0.07989340868961192	0.07989340868961192
aux	0.07392737737662003	-0.07392737737662003
ppron	0.07037873917400894	0.07037873917400894
ttr	0.07013857635372034	0.07013857635372034
vo_noun	0.06665274756153394	-0.06665274756153394
advers	0.05972457169541556	-0.05972457169541556
acl	0.05250009806162481	-0.05250009806162481
