feature	abs_weight	weight
nummod	2.2902130144998947	2.2902130144998947
conj	0.6684055971359477	-0.6684055971359477
appos	0.6554035235050323	-0.6554035235050323
advqua	0.5839706613327624	-0.5839706613327624
poss	0.5510562137766408	0.5510562137766408
fin	0.47550388153801426	0.47550388153801426
mdd	0.4127738967629643	-0.4127738967629643
mhd	0.33204545291157095	-0.33204545291157095
addit	0.28230808280825237	-0.28230808280825237
flat	0.25969305993666475	-0.25969305993666475
xcomp	0.25246776700316664	-0.25246776700316664
cop	0.24101288969471601	-0.24101288969471601
ppron	0.23724488450129577	0.23724488450129577
simple	0.2338827830300783	-0.2338827830300783
obj	0.2287323673866012	-0.2287323673866012
deverb	0.21966046167206815	-0.21966046167206815
iobj	0.21549851231349404	-0.21549851231349404
negs	0.1859425359045236	0.1859425359045236
vo_noun	0.1762482479340357	-0.1762482479340357
prep	0.17506233705622692	0.17506233705622692
parataxis	0.1634195318108258	-0.1634195318108258
obl_obj	0.1617477139504394	-0.1617477139504394
demdets	0.1509807167667439	-0.1509807167667439
ttr	0.15085639663043682	-0.15085639663043682
advcl	0.14496092819969292	-0.14496092819969292
obl	0.138654989505955	-0.138654989505955
mpred	0.12858789979963625	-0.12858789979963625
inf	0.1261161005943905	0.1261161005943905
discourse	0.12126494052254355	0.12126494052254355
fixed	0.11630311830756046	0.11630311830756046
advmod_verb	0.11013372413566203	0.11013372413566203
nsubj	0.10852090390695845	-0.10852090390695845
dens	0.10031406387859265	-0.10031406387859265
nachfeld	0.08712259909124587	0.08712259909124587
mean_sent_wc	0.08495392809734725	0.08495392809734725
aux	0.08367708332714119	-0.08367708332714119
pastv	0.07463456517100159	0.07463456517100159
compound	0.07060209701129794	0.07060209701129794
advmod	0.06995713580754559	-0.06995713580754559
cconj	0.06981414711758457	0.06981414711758457
self	0.06624836524852329	0.06624836524852329
epist	0.060028341620063874	-0.060028341620063874
vs_noun	0.05604598191822113	-0.05604598191822113
vorfeld	0.05420844488840748	0.05420844488840748
nn	0.04936999071632098	-0.04936999071632098
wdlen	0.048991197038183276	0.048991197038183276
acl	0.047899590848741624	-0.047899590848741624
aux:pass	0.038412846903061765	0.038412846903061765
mark	0.034312224660867974	0.034312224660867974
tempseq	0.028328026073576484	0.028328026073576484
sconj	0.026421093820250485	0.026421093820250485
caus	0.023570210124595148	0.023570210124595148
amod	0.021748525504716065	0.021748525504716065
numcls	0.01884189539246378	-0.01884189539246378
advers	0.011384394715652946	0.011384394715652946
nnargs	0.010534441793524418	-0.010534441793524418
ccomp	0.010361792595675823	-0.010361792595675823
nmod	0.0	0.0
