index	expected	HT	best	feature-based_min	feature-based_detailed	expected	HT	best	feature-based_min	feature-based_detailed
	de	de	de	de	de	en	en	en	en	en
ppron	0.057	$\downarrow$	0	$\downarrow$	$\downarrow$	0.046	$\uparrow$	1	$\downarrow$	$\downarrow$
prep	0.153	$\uparrow$	0	$\uparrow$	$\uparrow$	0.108	$\downarrow$	0	$\downarrow$	$\downarrow$
sconj	0.023	$\downarrow$*	0	$\downarrow$	$\downarrow$	0.024	$\uparrow$	0	$\downarrow$	$\downarrow$
self	0.003	$\uparrow$	0	$\uparrow$*	$\uparrow$*	0.0	$\uparrow$	0	$\uparrow$*	$\downarrow$*
simple	0.273	$\downarrow$	0	$\uparrow$	$\uparrow$	0.273	$\uparrow$*	0	$\uparrow$	$\uparrow$
tempseq	0.011	$\downarrow$	0	$\downarrow$	$\downarrow$	0.004	$\uparrow$	0	$\downarrow$*	$\downarrow$*
vo_noun	0.107	$\uparrow$*	0	$\uparrow$	$\uparrow$	0.629	$\uparrow$*	0	$\downarrow$	$\downarrow$
vorfeld	0.467	$\downarrow$*	0	$\downarrow$	$\downarrow$	0.434	$\uparrow$	0	$\downarrow$	$\downarrow$
vs_noun	0.044	$\uparrow$	0	$\uparrow$	$\uparrow$	0.0	$\downarrow$*	0	$\downarrow$*	$\downarrow$*
wdlen	5.6	$\uparrow$	0	$\uparrow$	$\uparrow$	4.742	$\downarrow$	0	$\uparrow$	$\uparrow$
xcomp	0.269	$\downarrow$*	0	$\downarrow$	$\downarrow$	0.369	$\uparrow$	0	$\downarrow$*	$\downarrow$*
