algo	support	feats	N_feats	Lang	Size	Accuracy	Precision	Recall	F1
SVM	3842	advcl iobj nmod parataxis advmod ttr mhd nnargs fin mean_sent_wc poss addit caus self pastv	15	de	seg-450-1500	81.08 (+/-0.76)	81.15 (+/-0.75)	81.07 (+/-0.76)	81.06 (+/-0.76)
SVM	3906	advcl aux:pass conj compound nmod obl advmod mhd numcls nnargs fin mean_sent_wc addit advers pastv	15	en	seg-450-1500	75.75 (+/-2.98)	76.14 (+/-2.89)	75.65 (+/-3.00)	75.60 (+/-3.05)
