pastv	878
poss	625
advmod	602
advcl	602
deverb	546
aux:pass	533
demdets	490
iobj	475
fin	424
nmod	335
self	312
nnargs	280
amod	214
acl	194
vs_noun	168
obl	142
obj	95
ppron	83
prep	52
nsubj	11
dens	4
nn	3
cconj	2
aux	1
